"Month","VHT","ToD","Agents","CallsOffered","CallsAbandoned","CallsHandled","ASA","Avehandletime"
"Feb-Mar","On","afternoo","4","34","0","34","0.10","4.1"
"Dec-Jan","On","morning","34","285","26","259","4.13","4.7"
"Dec-Jan","On","afternoo","43","273","6","267","0.92","4.8"
"Dec-Jan","On","morning","21","247","49","198","10.28","5.4"
"Dec-Jan","On","afternoo","29","179","2","177","0.82","4.8"
"Dec-Jan","On","morning","35","218","20","198","3.33","5.3"
"Dec-Jan","On","afternoo","25","169","17","152","3.75","5.1"
"Dec-Jan","On","morning","32","201","6","195","1.38","4.9"
"Dec-Jan","On","afternoo","27","182","1","181","0.43","4.4"
"Dec-Jan","On","morning","10","63","1","62","0.12","4.5"
"Dec-Jan","On","afternoo","5","37","0","37","0.23","3.6"
"Dec-Jan","On","morning","20","251","40","211","11.18","5.1"
"Dec-Jan","On","afternoo","37","238","16","222","2.83","4.9"
"Dec-Jan","On","morning","23","226","32","194","7.12","5.3"
"Dec-Jan","On","afternoo","28","171","5","166","0.85","5.0"
"Dec-Jan","On","afternoo","27","168","3","165","0.73","4.8"
"Dec-Jan","On","afternoo","24","155","7","148","1.55","5.1"
"Dec-Jan","On","morning","25","241","36","205","7.33","5.3"
"Dec-Jan","On","afternoo","35","190","10","180","2.25","5.7"
"Dec-Jan","On","morning","10","71","2","69","0.25","4.2"
"Dec-Jan","On","afternoo","7","42","0","42","0.15","4.4"
"Dec-Jan","On","morning","31","255","34","221","6.83","5.7"
"Dec-Jan","On","afternoo","39","260","2","258","0.23","4.5"
"Dec-Jan","On","morning","38","237","7","230","1.18","4.9"
"Dec-Jan","On","morning","35","198","0","198","0.10","5.4"
"Dec-Jan","On","morning","32","191","5","186","1.17","5.1"
"Dec-Jan","On","afternoo","4","31","0","31","0.25","4.1"
"Dec-Jan","On","morning","13","252","61","191","15.30","4.2"
"Dec-Jan","On","afternoo","28","285","41","244","6.20","4.7"
"Dec-Jan","On","morning","20","204","26","178","6.18","4.6"
"Dec-Jan","On","afternoo","30","201","5","196","0.68","4.7"
"Dec-Jan","On","morning","27","220","23","197","5.02","5.1"
"Dec-Jan","On","afternoo","25","169","0","169","0.08","4.6"
"Dec-Jan","On","afternoo","29","173","2","171","0.43","5.3"
"Dec-Jan","On","afternoo","38","206","1","205","0.52","5.6"
"Dec-Jan","On","morning","13","77","0","77","0.05","5.0"
"Dec-Jan","On","morning","47","297","18","279","2.92","5.1"
"Dec-Jan","On","morning","38","224","4","220","0.45","5.2"
"Feb-Mar","On","morning","39","211","1","210","0.12","5.6"
"Feb-Mar","On","morning","35","206","6","200","1.28","5.2"
"Feb-Mar","On","morning","40","225","5","220","0.65","5.6"
"Feb-Mar","On","morning","14","103","0","103","0.00","4.2"
"Feb-Mar","On","morning","36","302","2","300","0.47","3.5"
"Feb-Mar","On","afternoo","32","319","4","315","0.33","3.1"
"Feb-Mar","On","morning","28","285","52","233","7.88","5.5"
"Feb-Mar","On","morning","38","246","17","229","2.58","4.9"
"Feb-Mar","On","morning","40","196","3","193","0.60","6.2"
"Feb-Mar","On","morning","10","65","0","65","0.10","4.6"
"Feb-Mar","On","afternoo","4","33","0","33","0.00","3.9"
"Feb-Mar","On","morning","31","259","7","252","1.20","3.7"
"Feb-Mar","On","afternoo","4","31","0","31","0.00","3.5"
"Feb-Mar","On","morning","31","169","5","164","0.52","5.8"
"Feb-Mar","On","afternoo","38","212","1","211","0.35","5.3"
"Feb-Mar","On","morning","33","175","9","166","1.72","6.1"
"Feb-Mar","On","morning","11","66","0","66","0.10","5.2"
"Feb-Mar","On","morning","27","182","0","182","0.53","4.4"
"Feb-Mar","On","morning","37","236","10","226","2.10","5.0"
"Feb-Mar","On","afternoo","32","224","16","208","4.25","5.2"
"Feb-Mar","On","morning","24","203","36","167","7.13","6.0"
"Feb-Mar","On","afternoo","28","171","2","169","0.27","5.0"
"Feb-Mar","On","morning","30","174","11","163","2.30","5.3"
"Feb-Mar","On","morning","28","155","7","148","1.77","5.8"
"Feb-Mar","On","afternoo","5","28","3","25","0.72","4.7"
"Feb-Mar","On","afternoo","25","163","2","161","0.42","4.7"
"Feb-Mar","On","morning","31","193","2","191","0.33","4.8"
"Feb-Mar","On","afternoo","23","149","0","149","0.02","4.5"
"Feb-Mar","On","afternoo","30","190","1","189","0.17","4.6"
"Feb-Mar","On","morning","29","198","5","193","1.32","4.7"
"Feb-Mar","On","morning","5","38","0","38","0.05","4.5"
"Feb-Mar","On","morning","21","227","41","186","8.98","5.3"
"Feb-Mar","On","morning","29","186","7","179","1.40","5.0"
"Feb-Mar","On","morning","24","151","1","150","0.33","4.9"
"Feb-Mar","On","morning","21","153","1","152","0.45","4.3"
"Feb-Mar","On","morning","8","45","1","44","0.37","4.8"
"Feb-Mar","On","afternoo","4","27","0","27","0.00","4.2"
"Feb-Mar","On","morning","19","224","49","175","9.12","5.3"
"Feb-Mar","On","afternoo","33","205","8","197","1.15","5.0"
